strategy_name,pair,roi,drawdown,sharpe,sortino,win_rate,num_trades,expected_value
SMA_20_200_Crossover,BTC/USD,-21.42,29.48,-1.2182,-0.9244,12.5,8,-26.77
Two_Pole_Oscillator,BTC/USD,-14.76,37.46,-0.4365,-0.4079,50.0,36,-4.1
Volume_Filter,BTC/USD,-16.98,28.86,-0.7637,-0.612,24.56,57,-2.98
Combined_Strategy,BTC/USD,-3.17,3.91,-1.4081,-0.2132,0.0,5,-6.34
SMA_20_200_Crossover,ETH/USD,-6.17,48.03,0.0049,0.0041,12.5,8,-7.71
Two_Pole_Oscillator,ETH/USD,27.66,54.34,0.7541,0.7345,50.0,36,7.68
Volume_Filter,ETH/USD,45.19,32.47,1.1499,1.1156,33.9,59,7.66
Combined_Strategy,ETH/USD,7.17,4.79,0.7777,0.2971,40.0,5,14.33
SMA_20_200_Crossover,SOL/USD,-0.27,32.76,0.1761,0.1633,33.33,6,-0.45
Two_Pole_Oscillator,SOL/USD,-61.08,70.33,-1.5484,-1.455,43.24,37,-16.51
Volume_Filter,SOL/USD,-14.73,42.37,-0.1966,-0.1751,36.51,63,-2.34
Combined_Strategy,SOL/USD,23.96,10.25,1.5382,0.5525,42.86,7,34.23
